datetime_utc,datetime_lst,temperature,humidity,pressure,winddirection,windspeed,rainfull,radiation
2023-08-11 07:36:00,2023-08-11 15:36:00,25.1,93.0,990.5,147.0,2.0,0.0,14.33668
2023-08-11 07:37:00,2023-08-11 15:37:00,25.2,93.0,990.5,145.0,2.0,0.0,14.67408
2023-08-11 07:38:00,2023-08-11 15:38:00,25.2,93.0,990.5,145.0,1.8,0.5,15.23852
2023-08-11 07:39:00,2023-08-11 15:39:00,25.2,93.0,990.5,145.0,1.8,0.0,15.98029
2023-08-11 07:40:00,2023-08-11 15:40:00,25.2,93.0,990.5,142.0,1.7,0.0,16.64474
2023-08-11 07:41:00,2023-08-11 15:41:00,25.2,93.0,990.5,141.0,1.5,0.0,17.23034
2023-08-11 07:42:00,2023-08-11 15:42:00,25.3,93.0,990.6,143.0,1.5,0.0,17.82098
2023-08-11 07:43:00,2023-08-11 15:43:00,25.3,93.0,990.5,145.0,1.5,0.0,18.43455
2023-08-11 07:44:00,2023-08-11 15:44:00,25.3,93.0,990.5,146.0,1.4,0.0,19.11439
2023-08-11 07:45:00,2023-08-11 15:45:00,25.3,93.0,990.6,149.0,1.4,0.0,20.11035
2023-08-11 07:46:00,2023-08-11 15:46:00,25.4,93.0,990.6,152.0,1.4,0.0,21.29023
2023-08-11 07:47:00,2023-08-11 15:47:00,25.3,93.0,990.6,154.0,1.4,0.0,22.5009
2023-08-11 07:48:00,2023-08-11 15:48:00,25.3,93.0,990.5,154.0,1.4,0.0,23.589
2023-08-11 07:49:00,2023-08-11 15:49:00,25.3,93.0,990.5,155.0,1.4,0.0,24.47356
2023-08-11 07:50:00,2023-08-11 15:50:00,25.4,93.0,990.5,156.0,1.5,0.0,25.22192
2023-08-11 07:51:00,2023-08-11 15:51:00,25.4,93.0,990.5,157.0,1.5,0.0,25.87673
2023-08-11 07:52:00,2023-08-11 15:52:00,25.3,93.0,990.4,157.0,1.6,0.0,26.55716
2023-08-11 07:53:00,2023-08-11 15:53:00,25.4,93.0,990.4,156.0,1.6,0.0,27.37673
2023-08-11 07:54:00,2023-08-11 15:54:00,25.3,93.0,990.4,155.0,1.6,0.0,28.30278
2023-08-11 07:55:00,2023-08-11 15:55:00,25.4,93.0,990.4,153.0,1.7,0.0,29.37948
